Linux 3.10.0-862.14.4.el7.x86_64 (CentOS) 	04/12/18 	_x86_64_	(1 CPU)

10:55:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:13:33         0,40      0,00      0,40      0,00      4,91
11:13:43         0,00      0,00      0,00      0,00      0,00
11:13:53         0,70      0,00      0,70      0,00     24,10
11:14:03         0,60      0,00      0,60      0,00      8,84
11:14:13         0,00      0,00      0,00      0,00      0,00
11:14:23         0,00      0,00      0,00      0,00      0,00
11:14:33         1,20      0,00      1,20      0,00     31,63
11:14:43         0,00      0,00      0,00      0,00      0,00
11:14:53         0,10      0,00      0,10      0,00      1,60
11:15:03         1,20      0,00      1,20      0,00     21,77
11:15:13         0,30      0,00      0,30      0,00     19,30
11:15:24         0,00      0,00      0,00      0,00      0,00
11:15:34         0,60      0,00      0,60      0,00      9,64
11:15:44         0,20      0,00      0,20      0,00      2,41
11:15:54         0,30      0,00      0,30      0,00     19,18
11:16:04         1,90      0,00      1,90      0,00     28,06
11:16:14         0,40      0,00      0,40      0,00      4,01
11:16:24         0,10      0,00      0,10      0,00      0,80
11:16:34         0,32      0,00      0,32      0,00     22,28
11:16:44         0,10      0,00      0,10      0,00      3,21
11:16:54         0,40      0,00      0,40      0,00      3,51
11:17:04         1,00      0,00      1,00      0,00     16,85
11:17:14         0,10      0,00      0,10      0,00     17,64
11:17:24         0,20      0,00      0,20      0,00      4,01
11:17:34         0,42      0,00      0,42      0,00      5,04
11:17:44         0,00      0,00      0,00      0,00      0,00
11:17:54         0,20      0,00      0,20      0,00     19,26
11:18:04         1,10      0,00      1,10      0,00     19,58
11:18:14         0,00      0,00      0,00      0,00      0,00
11:18:24         0,00      0,00      0,00      0,00      0,00
11:18:34         0,52      0,00      0,52      0,00     26,00
11:18:44         0,30      0,00      0,30      0,00      3,91
11:18:54         0,00      0,00      0,00      0,00      0,00
11:19:04         0,80      0,00      0,80      0,00     14,91
11:19:14         0,20      0,00      0,20      0,00     18,47
11:19:24         0,00      0,00      0,00      0,00      0,00
11:19:34         0,74      0,00      0,74      0,00      6,00
11:19:44         0,50      0,00      0,50      0,00      5,22
11:19:54         0,10      0,00      0,10      0,00     17,65
11:20:04         0,60      0,00      0,60      0,00     12,83
11:20:14         0,30      0,00      0,30      0,00      3,21
11:20:24         0,10      0,00      0,10      0,00      0,80
11:20:34         0,84      0,00      0,84      0,00     31,01
11:20:44         0,00      0,00      0,00      0,00      0,00
11:20:54         0,60      0,00      0,60      0,00      6,92
11:21:04         1,20      0,00      1,20      0,00     19,48
11:21:14         0,10      0,00      0,10      0,00     16,80
11:21:24         0,10      0,00      0,10      0,00      1,60
11:21:34         0,74      0,00      0,74      0,00      8,67
11:21:44         0,20      0,00      0,20      0,00      3,61
11:21:54         0,10      0,00      0,10      0,00     17,64
11:22:04         1,00      0,00      1,00      0,00     19,32
11:22:14         0,20      0,00      0,20      0,00      1,60
11:22:24         0,00      0,00      0,00      0,00      0,00
11:22:34         0,74      0,00      0,74      0,00     22,36
11:22:44         0,20      0,00      0,20      0,00      4,81
11:22:54         0,00      0,00      0,00      0,00      0,00
11:23:04         1,91      0,00      1,91      0,00     32,06
11:23:14         0,30      0,00      0,30      0,00     20,04
11:23:24         0,00      0,00      0,00      0,00      0,00
11:23:34         0,53      0,00      0,53      0,00      7,47
11:23:44         0,20      0,00      0,20      0,00      3,21
11:23:54         0,20      0,00      0,20      0,00     17,65
11:24:04         1,30      0,00      1,30      0,00     24,65
11:24:14         0,30      0,00      0,30      0,00      4,81
11:24:24         0,00      0,00      0,00      0,00      0,00
11:24:34         2,10      0,00      2,10      0,00     55,09
11:24:44         0,40      0,00      0,40      0,00      4,80
11:24:54         0,00      0,00      0,00      0,00      0,00
11:25:04         0,30      0,00      0,30      0,00      2,41
11:25:14         0,40      0,00      0,40      0,00     20,84
11:25:24         0,00      0,00      0,00      0,00      0,00
11:25:34         0,21      0,00      0,21      0,00      4,42
11:25:44         0,20      0,00      0,20      0,00      2,40
11:25:54         0,40      0,00      0,40      0,00     20,06
11:26:04         0,70      0,00      0,70      0,00     11,32
11:26:14         0,10      0,00      0,10      0,00      2,40
11:26:24         0,00      0,00      0,00      0,00      0,00
11:26:34         0,84      0,00      0,84      0,00     29,53
11:26:44         0,10      0,00      0,10      0,00      2,41
11:26:54         0,10      0,00      0,10      0,00      0,80
11:27:04         0,60      0,00      0,60      0,00     11,91
11:27:14         0,40      0,00      0,40      0,00     20,06
11:27:24         0,00      0,00      0,00      0,00      0,00
11:27:34         0,11      0,00      0,11      0,00      0,84
11:27:44         0,60      0,00      0,60      0,00      6,73
11:27:54         0,20      0,00      0,20      0,00     19,24
11:28:04         0,30      0,00      0,30      0,00      7,12
11:28:14         0,40      0,00      0,40      0,00      5,62
11:28:24         0,20      0,00      0,20      0,00      2,41
11:28:34         0,21      0,00      0,21      0,00     18,80
11:28:44         0,10      0,00      0,10      0,00      2,40
11:28:54         0,30      0,00      0,30      0,00      3,21
11:29:04         0,80      0,00      0,80      0,00     15,23
11:29:14         0,70      0,00      0,70      0,00     25,88
11:29:24         0,00      0,00      0,00      0,00      0,00
11:29:34         0,63      0,00      0,63      0,00      9,34
11:29:44         0,30      0,00      0,30      0,00      4,01
11:29:54         0,30      0,00      0,30      0,00     20,74
11:30:04         0,50      0,00      0,50      0,00     12,06
11:30:14         0,50      0,00      0,50      0,00      8,02
11:30:24         0,10      0,00      0,10      0,00      0,80
17:07:06         0,38      0,00      0,38      0,07      6,51
17:07:08         0,00      0,00      0,00      0,00      0,00
Media:           0,39      0,00      0,39      0,06      6,86
